Codigo do par|Codigo do estudante|Codigo da OE
25594336|8784668|01031276
25627187|8643133|01034187
25648303|1940904|01043948
25657077|9006262|01037952
25658046|0130885|01044445
25661000|7448457|01037577
25664596|2789131|01044831
25666729|5557791|01044971
25668345|8105755|01045044
25674317|8159641|01043550
25675064|3070349|01012554
25675085|6615258|01013012
25677601|7631931|01032028
25688447|5849163|00998567
25690121|7275278|01032241
25692964|8491448|01034555
25698740|8175426|01039391
25699249|2083221|01045339
25703466|5339275|01044661
25707712|5153938|01042143
25712417|8115013|01035335
