UNIDADE|DESCRICAO|ESTAGIO|COORD||UNIDADE|DESCRICAO|APRENDIZ|COORD
0162|ARACATUBA - UNID. DE OPERACAO|14|NS||0162|ARACATUBA - UNID. DE OPERACAO|0|NS
0602|PORTO VELHO/ RO - UNIDADE DE OPERACAO|7|AM||0602|PORTO VELHO/ RO - UNIDADE DE OPERACAO|0|AM
0503|PALMAS/ TO - UNIDADE DE OPERACAO|2|GO||0503|PALMAS/ TO - UNIDADE DE OPERACAO|0|GO
0215|TABOAO DA SERRA UNID. DE OPERACAO|3|BG||0215|TABOAO DA SERRA UNID. DE OPERACAO|3|BG
0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|2|BA||0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|3|BA
1502|MOSSORO/RN - UNIDADE DE OPERACAO|1|CE||1502|MOSSORO/RN - UNIDADE DE OPERACAO|0|CE
1402|SOBRAL/ CE - UNIDADE DE OPERACAO|2|CE||1402|SOBRAL/ CE - UNIDADE DE OPERACAO|0|CE
0302|CAMACARI/BA - UNIDADE DE OPERACAO|7|BA||0302|CAMACARI/BA - UNIDADE DE OPERACAO|0|BA
0321|ITABUNA/ BA - UNIDADE DE OPERACAO|4|BA||0321|ITABUNA/ BA - UNIDADE DE OPERACAO|0|BA
0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|2|BA||0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|0|BA
