UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND||UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND
0101|SAO PAULO - UNID.OPERACAO|SP|282|3246| |0101|SAO PAULO - UNID.OPERACAO|SP|57|1167
0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|146|621| |0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|5|58
1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|2|17| |1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|0|0
0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|30|160| |0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|2|17
1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|42|141| |1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|7|27
0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|7|292| |0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|0|9
0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|28|210| |0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|0|12
0131|SANTOS - UNID.OPERACAO|BG|18|342| |0131|SANTOS - UNID.OPERACAO|BG|0|38
1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|5|23| |1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|0|3
1001|BELEM/PA|AM|43|58| |1001|BELEM/PA|AM|5|17
1501|NATAL/RN - UNIDADE DE OPERACAO|CE|12|100| |1501|NATAL/RN - UNIDADE DE OPERACAO|CE|0|16
0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|37|180| |0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|9|63
0213|SAO CAETANO DO SUL UNID. OPERACAO|BG|13|126| |0213|SAO CAETANO DO SUL UNID. OPERACAO|BG|3|25
0105|ALPHAVILLE - UNID.OPERACAO|JS|28|69| |0105|ALPHAVILLE - UNID.OPERACAO|JS|9|69
0112|PIRACICABA - UNID.OPERACAO|CV|12|129| |0112|PIRACICABA - UNID.OPERACAO|CV|8|20
0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|BG|6|120| |0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|BG|4|71
0214|OSASCO - UNID. DE OPERACAO|JS|12|156| |0214|OSASCO - UNID. DE OPERACAO|JS|1|33
0103|GUARULHOS - UNID.OPERACAO|BG|35|194| |0103|GUARULHOS - UNID.OPERACAO|BG|5|53
0142|FRANCA - UNID.OPERACAO|NS|22|72| |0142|FRANCA - UNID.OPERACAO|NS|1|15
