Codigo do par|Codigo do estudante|Codigo da OE
25529606|8729372|01023315
25545394|5639726|01003709
25567799|4700681|01041470
25577545|4010160|01042116
25587615|1833969|01028554
25590085|6970866|01012113
25594308|8312132|01030745
25598188|8856424|01037498
25601999|8744624|01033589
25604650|8354464|01007545
25612750|8218777|01035929
25619046|8089802|01008286
25619707|4799596|01005634
