UNIDADE|DESCRICAO|ESTAGIO|COORD||UNIDADE|DESCRICAO|APRENDIZ|COORD
0126|TAUBATE - UNIDADE DE ATENDIMENTO|7|CV||0126|TAUBATE - UNIDADE DE ATENDIMENTO|0|CV
0213|SAO CAETANO DO SUL UNID. OPERACAO|7|BG||0213|SAO CAETANO DO SUL UNID. OPERACAO|0|BG
1201|SAO LUIS/ MA - UNIDADE DE OPERACAO|5|CE||1201|SAO LUIS/ MA - UNIDADE DE OPERACAO|0|CE
1411|JUAZEIRO DO NORTE / CE - UNIDADE DE OPERACAO|2|CE||1411|JUAZEIRO DO NORTE / CE - UNIDADE DE OPERACAO|1|CE
1402|SOBRAL/ CE - UNIDADE DE OPERACAO|10|CE||1402|SOBRAL/ CE - UNIDADE DE OPERACAO|0|CE
0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|6|BA||0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|0|BA
1701|MACEIO/ AL - UNIDADE DE OPERACAO|10|BA||1701|MACEIO/ AL - UNIDADE DE OPERACAO|0|BA
0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|10|BA||0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|0|BA
0321|ITABUNA/ BA - UNIDADE DE OPERACAO|2|BA||0321|ITABUNA/ BA - UNIDADE DE OPERACAO|0|BA
1502|MOSSORO/RN - UNIDADE DE OPERACAO|2|CE||1502|MOSSORO/RN - UNIDADE DE OPERACAO|0|CE
