Codigo do par|Codigo do estudante|Codigo da OE
25518236|8271040|01028673
25619023|8581577|01043346
25622827|4986056|00992621
25630718|8994390|00994191
25641421|8828832|01039362
25645358|8733163|01026965
25650999|4024608|01043906
25653371|7014186|01034667
25657228|1914757|01039722
25657328|8298825|01036235
25658356|8646571|01043062
25659749|7788930|01044519
25665726|8938373|01033269
25666300|1226002|01044921
25670287|2073654|01019330
25671587|7537569|01011766
25671644|6997849|01030189
25671694|7498173|01044106
