UNIDADE|DESCRICAO|ESTAGIO|COORD||UNIDADE|DESCRICAO|APRENDIZ|COORD
0112|PIRACICABA - UNID.OPERACAO|22|CV||0112|PIRACICABA - UNID.OPERACAO|6|CV
0114|PAULINIA - UNID.OPERACAO|9|CV||0114|PAULINIA - UNID.OPERACAO|0|CV
0201|BRASILIA/ DF - UNIDADE DE OPERACAO|112|DF||0201|BRASILIA/ DF - UNIDADE DE OPERACAO|29|DF
0101|SAO PAULO - UNID.OPERACAO|219|SP||0101|SAO PAULO - UNID.OPERACAO|25|SP
0151|BAURU - UNID.OPERACAO|14|NS||0151|BAURU - UNID.OPERACAO|3|NS
0103|GUARULHOS - UNID.OPERACAO|17|BG||0103|GUARULHOS - UNID.OPERACAO|22|BG
0171|PRESIDENTE PRUDENTE - UNID.OPERACAO|7|NS||0171|PRESIDENTE PRUDENTE - UNID.OPERACAO|1|NS
0501|GOIANIA/ GO - UNIDADE DE OPERACAO|27|GO||0501|GOIANIA/ GO - UNIDADE DE OPERACAO|1|GO
0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|17|BG||0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|0|BG
0142|FRANCA - UNID.OPERACAO|24|NS||0142|FRANCA - UNID.OPERACAO|11|NS
0152|MARILIA - UNID.OPERACAO|7|NS||0152|MARILIA - UNID.OPERACAO|3|NS
0111|CAMPINAS - UNID.OPERACAO|25|CV||0111|CAMPINAS - UNID.OPERACAO|1|CV
0216|MOGI GUACU -UNID. DE OPERACAO|4|CV||0216|MOGI GUACU -UNID. DE OPERACAO|0|CV
0215|TABOAO DA SERRA UNID. DE OPERACAO|3|BG||0215|TABOAO DA SERRA UNID. DE OPERACAO|3|BG
0115|SOROCABA - UNID.OPERACAO|16|JS||0115|SOROCABA - UNID.OPERACAO|0|JS
0214|OSASCO - UNID. DE OPERACAO|5|JS||0214|OSASCO - UNID. DE OPERACAO|2|JS
0126|TAUBATE - UNIDADE DE ATENDIMENTO|3|CV||0126|TAUBATE - UNIDADE DE ATENDIMENTO|1|CV
0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|18|NS||0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|0|NS
1501|NATAL/RN - UNIDADE DE OPERACAO|7|CE||1501|NATAL/RN - UNIDADE DE OPERACAO|7|CE
0301|SALVADOR / BA - UNIDADE DE OPERACAO|33|BA||0301|SALVADOR / BA - UNIDADE DE OPERACAO|6|BA
0141|RIBEIRAO PRETO - UNID.OPERACAO|24|NS||0141|RIBEIRAO PRETO - UNID.OPERACAO|1|NS
1601|JOAO PESSOA/ PB - UNIDADE DE OPERACAO|14|CE||1601|JOAO PESSOA/ PB - UNIDADE DE OPERACAO|3|CE
0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|26|CV||0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|0|CV
0102|MOGI DAS CRUZES - UNID.OPERACAO|5|BG||0102|MOGI DAS CRUZES - UNID.OPERACAO|0|BG
1401|FORTALEZA / CE - UNIDADE DE OPERACAO|28|CE||1401|FORTALEZA / CE - UNIDADE DE OPERACAO|7|CE
0116|JUNDIAI - UNID.OPERACAO|16|JS||0116|JUNDIAI - UNID.OPERACAO|3|JS
0105|ALPHAVILLE - UNID.OPERACAO|5|JS||0105|ALPHAVILLE - UNID.OPERACAO|5|JS
1001|BELEM/PA|29|AM||1001|BELEM/PA|0|AM
0131|SANTOS - UNID.OPERACAO|12|BG||0131|SANTOS - UNID.OPERACAO|2|BG
1301|TERESINA/PI - UNIDADE DE OPERACAO|18|CE||1301|TERESINA/PI - UNIDADE DE OPERACAO|1|CE
1901|CUIABA/ MT - UNIDADE DE OPERACAO|17|GO||1901|CUIABA/ MT - UNIDADE DE OPERACAO|7|GO
