UNIDADE|DESCRICAO|ESTAGIO|COORD||UNIDADE|DESCRICAO|APRENDIZ|COORD
0604|MACAPA/ AP - UNIDADE DE OPERACAO|8|AM||0604|MACAPA/ AP - UNIDADE DE OPERACAO|2|AM
2001|CAMPO GRANDE / MS - UNID. OPERACAO|15|GO||2001|CAMPO GRANDE / MS - UNID. OPERACAO|0|GO
1801|ARACAJU/SE - UNIDADE DE OPERACAO|8|BA||1801|ARACAJU/SE - UNIDADE DE OPERACAO|2|BA
0145|ARARAQUARA - UNIDADE OPERACAO|12|NS||0145|ARARAQUARA - UNIDADE OPERACAO|0|NS
0601|MANAUS/AM - UNIDADE DE OPERACAO|17|AM||0601|MANAUS/AM - UNIDADE DE OPERACAO|13|AM
0602|PORTO VELHO/ RO - UNIDADE DE OPERACAO|10|AM||0602|PORTO VELHO/ RO - UNIDADE DE OPERACAO|0|AM
0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|10|BA||0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|2|BA
0162|ARACATUBA - UNID. DE OPERACAO|15|NS||0162|ARACATUBA - UNID. DE OPERACAO|0|NS
0302|CAMACARI/BA - UNIDADE DE OPERACAO|8|BA||0302|CAMACARI/BA - UNIDADE DE OPERACAO|0|BA
1411|JUAZEIRO DO NORTE / CE - UNIDADE DE OPERACAO|3|CE||1411|JUAZEIRO DO NORTE / CE - UNIDADE DE OPERACAO|0|CE
1402|SOBRAL/ CE - UNIDADE DE OPERACAO|4|CE||1402|SOBRAL/ CE - UNIDADE DE OPERACAO|0|CE
0213|SAO CAETANO DO SUL UNID. OPERACAO|3|BG||0213|SAO CAETANO DO SUL UNID. OPERACAO|7|BG
1701|MACEIO/ AL - UNIDADE DE OPERACAO|9|BA||1701|MACEIO/ AL - UNIDADE DE OPERACAO|23|BA
1201|SAO LUIS/ MA - UNIDADE DE OPERACAO|2|CE||1201|SAO LUIS/ MA - UNIDADE DE OPERACAO|0|CE
0321|ITABUNA/ BA - UNIDADE DE OPERACAO|10|BA||0321|ITABUNA/ BA - UNIDADE DE OPERACAO|0|BA
0503|PALMAS/ TO - UNIDADE DE OPERACAO|0|GO||0503|PALMAS/ TO - UNIDADE DE OPERACAO|2|GO
0603|RIO BRANCO/ AC - UNIDADE DE OPERACAO|11|AM||0603|RIO BRANCO/ AC - UNIDADE DE OPERACAO|0|AM
0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|7|BA||0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|0|BA
0605|BOA VISTA-RR|3|AM||0605|BOA VISTA-RR|1|AM
