UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND||UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND
0101|SAO PAULO - UNID.OPERACAO|SP|320|3218| |0101|SAO PAULO - UNID.OPERACAO|SP|35|1152
0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|124|637| |0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|16|64
1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|1|17| |1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|0|0
0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|28|157| |0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|0|17
1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|28|143| |1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|7|26
0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|3|297| |0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|0|9
0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|29|208| |0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|0|12
0131|SANTOS - UNID.OPERACAO|BG|19|362| |0131|SANTOS - UNID.OPERACAO|BG|1|41
1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|3|21| |1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|1|3
1001|BELEM/PA|AM|27|50| |1001|BELEM/PA|AM|2|17
1501|NATAL/RN - UNIDADE DE OPERACAO|CE|4|103| |1501|NATAL/RN - UNIDADE DE OPERACAO|CE|0|16
0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|28|180| |0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|4|56
0213|SAO CAETANO DO SUL UNID. OPERACAO|BG|9|123| |0213|SAO CAETANO DO SUL UNID. OPERACAO|BG|7|23
0105|ALPHAVILLE - UNID.OPERACAO|JS|9|61| |0105|ALPHAVILLE - UNID.OPERACAO|JS|9|68
0112|PIRACICABA - UNID.OPERACAO|CV|26|125| |0112|PIRACICABA - UNID.OPERACAO|CV|2|20
0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|BG|20|117| |0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|BG|5|67
0214|OSASCO - UNID. DE OPERACAO|JS|10|154| |0214|OSASCO - UNID. DE OPERACAO|JS|2|35
0103|GUARULHOS - UNID.OPERACAO|BG|21|194| |0103|GUARULHOS - UNID.OPERACAO|BG|21|53
0142|FRANCA - UNID.OPERACAO|NS|17|78| |0142|FRANCA - UNID.OPERACAO|NS|12|15
0171|PRESIDENTE PRUDENTE - UNID.OPERACAO|NS|9|219| |0171|PRESIDENTE PRUDENTE - UNID.OPERACAO|NS|1|16
1601|JOAO PESSOA/ PB - UNIDADE DE OPERACAO|CE|11|132| |1601|JOAO PESSOA/ PB - UNIDADE DE OPERACAO|CE|5|30
