UNIDADE|DESCRICAO|ESTAGIO|COORD||UNIDADE|DESCRICAO|APRENDIZ|COORD
0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|36|NS||0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|0|NS
0101|SAO PAULO - UNID.OPERACAO|294|SP||0101|SAO PAULO - UNID.OPERACAO|30|SP
0116|JUNDIAI - UNID.OPERACAO|4|JS||0116|JUNDIAI - UNID.OPERACAO|7|JS
0215|TABOAO DA SERRA UNID. DE OPERACAO|5|BG||0215|TABOAO DA SERRA UNID. DE OPERACAO|3|BG
0131|SANTOS - UNID.OPERACAO|23|BG||0131|SANTOS - UNID.OPERACAO|2|BG
0501|GOIANIA/ GO - UNIDADE DE OPERACAO|29|GO||0501|GOIANIA/ GO - UNIDADE DE OPERACAO|6|GO
0201|BRASILIA/ DF - UNIDADE DE OPERACAO|89|DF||0201|BRASILIA/ DF - UNIDADE DE OPERACAO|7|DF
0162|ARACATUBA - UNID. DE OPERACAO|9|NS||0162|ARACATUBA - UNID. DE OPERACAO|0|NS
0115|SOROCABA - UNID.OPERACAO|18|JS||0115|SOROCABA - UNID.OPERACAO|1|JS
0102|MOGI DAS CRUZES - UNID.OPERACAO|7|BG||0102|MOGI DAS CRUZES - UNID.OPERACAO|1|BG
0145|ARARAQUARA - UNIDADE OPERACAO|21|NS||0145|ARARAQUARA - UNIDADE OPERACAO|3|NS
0114|PAULINIA - UNID.OPERACAO|6|CV||0114|PAULINIA - UNID.OPERACAO|10|CV
0111|CAMPINAS - UNID.OPERACAO|31|CV||0111|CAMPINAS - UNID.OPERACAO|5|CV
0105|ALPHAVILLE - UNID.OPERACAO|7|JS||0105|ALPHAVILLE - UNID.OPERACAO|6|JS
0151|BAURU - UNID.OPERACAO|13|NS||0151|BAURU - UNID.OPERACAO|2|NS
0216|MOGI GUACU -UNID. DE OPERACAO|4|CV||0216|MOGI GUACU -UNID. DE OPERACAO|0|CV
2001|CAMPO GRANDE / MS - UNID. OPERACAO|7|GO||2001|CAMPO GRANDE / MS - UNID. OPERACAO|1|GO
0103|GUARULHOS - UNID.OPERACAO|18|BG||0103|GUARULHOS - UNID.OPERACAO|8|BG
0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|41|CV||0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|0|CV
