UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND||UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND
0321|ITABUNA/ BA - UNIDADE DE OPERACAO|BA|3|25| |0321|ITABUNA/ BA - UNIDADE DE OPERACAO|BA|2|7
0301|SALVADOR / BA - UNIDADE DE OPERACAO|BA|39|497| |0301|SALVADOR / BA - UNIDADE DE OPERACAO|BA|15|150
2001|CAMPO GRANDE / MS - UNID. OPERACAO|GO|6|112| |2001|CAMPO GRANDE / MS - UNID. OPERACAO|GO|1|27
0116|JUNDIAI - UNID.OPERACAO|JS|6|159| |0116|JUNDIAI - UNID.OPERACAO|JS|3|42
0141|RIBEIRAO PRETO - UNID.OPERACAO|NS|8|224| |0141|RIBEIRAO PRETO - UNID.OPERACAO|NS|0|35
0103|GUARULHOS - UNID.OPERACAO|BG|24|198| |0103|GUARULHOS - UNID.OPERACAO|BG|9|56
1401|FORTALEZA / CE - UNIDADE DE OPERACAO|CE|111|113| |1401|FORTALEZA / CE - UNIDADE DE OPERACAO|CE|9|29
1801|ARACAJU/SE - UNIDADE DE OPERACAO|BA|10|30| |1801|ARACAJU/SE - UNIDADE DE OPERACAO|BA|0|3
0111|CAMPINAS - UNID.OPERACAO|CV|46|305| |0111|CAMPINAS - UNID.OPERACAO|CV|5|33
0114|PAULINIA - UNID.OPERACAO|CV|8|81| |0114|PAULINIA - UNID.OPERACAO|CV|10|11
0603|RIO BRANCO/ AC - UNIDADE DE OPERACAO|AM|6|4| |0603|RIO BRANCO/ AC - UNIDADE DE OPERACAO|AM|0|0
0602|PORTO VELHO/ RO - UNIDADE DE OPERACAO|AM|17|23| |0602|PORTO VELHO/ RO - UNIDADE DE OPERACAO|AM|0|9
0151|BAURU - UNID.OPERACAO|NS|6|124| |0151|BAURU - UNID.OPERACAO|NS|2|33
1411|JUAZEIRO DO NORTE / CE - UNIDADE DE OPERACAO|CE|5|27| |1411|JUAZEIRO DO NORTE / CE - UNIDADE DE OPERACAO|CE|1|2
0115|SOROCABA - UNID.OPERACAO|JS|26|167| |0115|SOROCABA - UNID.OPERACAO|JS|2|68
1301|TERESINA/PI - UNIDADE DE OPERACAO|CE|22|65| |1301|TERESINA/PI - UNIDADE DE OPERACAO|CE|0|4
0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|BA|4|39| |0322|VITORIA DA CONQUISTA/BA - UNIDADE DE OPERACAO|BA|1|5
0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|BA|9|28| |0311|FEIRA DE SANTANA/ BA - UNIDADE DE OPERACAO|BA|2|7
0601|MANAUS/AM - UNIDADE DE OPERACAO|AM|25|151| |0601|MANAUS/AM - UNIDADE DE OPERACAO|AM|27|68
1701|MACEIO/ AL - UNIDADE DE OPERACAO|BA|3|50| |1701|MACEIO/ AL - UNIDADE DE OPERACAO|BA|2|3
0145|ARARAQUARA - UNIDADE OPERACAO|NS|18|56| |0145|ARARAQUARA - UNIDADE OPERACAO|NS|0|14
1201|SAO LUIS/ MA - UNIDADE DE OPERACAO|CE|10|94| |1201|SAO LUIS/ MA - UNIDADE DE OPERACAO|CE|0|5
0152|MARILIA - UNID.OPERACAO|NS|12|42| |0152|MARILIA - UNID.OPERACAO|NS|1|15
0215|TABOAO DA SERRA UNID. DE OPERACAO|BG|8|55| |0215|TABOAO DA SERRA UNID. DE OPERACAO|BG|1|20
0162|ARACATUBA - UNID. DE OPERACAO|NS|4|45| |0162|ARACATUBA - UNID. DE OPERACAO|NS|0|3
0216|MOGI GUACU -UNID. DE OPERACAO|CV|15|33| |0216|MOGI GUACU -UNID. DE OPERACAO|CV|0|4
0604|MACAPA/ AP - UNIDADE DE OPERACAO|AM|3|23| |0604|MACAPA/ AP - UNIDADE DE OPERACAO|AM|0|5
0302|CAMACARI/BA - UNIDADE DE OPERACAO|BA|9|66| |0302|CAMACARI/BA - UNIDADE DE OPERACAO|BA|4|12
0605|BOA VISTA-RR|AM|0|5| |0605|BOA VISTA-RR|AM|0|0
0503|PALMAS/ TO - UNIDADE DE OPERACAO|GO|1|8| |0503|PALMAS/ TO - UNIDADE DE OPERACAO|GO|0|3
|||0|0| ||||0|0
2501|BELO HORIZONTE/MG|UC|0|0| |2501|BELO HORIZONTE/MG|UC|0|0
