UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND||UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND
0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|133|617| |0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|7|81
0101|SAO PAULO - UNID.OPERACAO|SP|337|3301| |0101|SAO PAULO - UNID.OPERACAO|SP|45|1107
1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|0|15| |1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|0|0
0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|45|141| |0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|0|17
1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|32|133| |1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|5|24
0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|5|299| |0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|1|10
0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|52|191| |0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|0|12
0131|SANTOS - UNID.OPERACAO|BG|30|350| |0131|SANTOS - UNID.OPERACAO|BG|1|41
1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|1|22| |1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|0|1
1001|BELEM/PA|AM|46|66| |1001|BELEM/PA|AM|4|17
1501|NATAL/RN - UNIDADE DE OPERACAO|CE|17|103| |1501|NATAL/RN - UNIDADE DE OPERACAO|CE|1|22
0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|35|176| |0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|6|42
0213|SAO CAETANO DO SUL UNID. OPERACAO|BG|19|124| |0213|SAO CAETANO DO SUL UNID. OPERACAO|BG|3|22
0105|ALPHAVILLE - UNID.OPERACAO|JS|6|64| |0105|ALPHAVILLE - UNID.OPERACAO|JS|7|63
0112|PIRACICABA - UNID.OPERACAO|CV|20|120| |0112|PIRACICABA - UNID.OPERACAO|CV|4|20
0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|BG|3|121| |0104|SAO BERNARDO DO CAMPO - UNID.OPERACAO|BG|4|61
0214|OSASCO - UNID. DE OPERACAO|JS|10|149| |0214|OSASCO - UNID. DE OPERACAO|JS|1|37
0142|FRANCA - UNID.OPERACAO|NS|9|88| |0142|FRANCA - UNID.OPERACAO|NS|12|17
0171|PRESIDENTE PRUDENTE - UNID.OPERACAO|NS|2|229| |0171|PRESIDENTE PRUDENTE - UNID.OPERACAO|NS|0|14
1601|JOAO PESSOA/ PB - UNIDADE DE OPERACAO|CE|14|122| |1601|JOAO PESSOA/ PB - UNIDADE DE OPERACAO|CE|4|27
0102|MOGI DAS CRUZES - UNID.OPERACAO|BG|10|103| |0102|MOGI DAS CRUZES - UNID.OPERACAO|BG|1|4
