Codigo do par|Codigo do estudante|Codigo da OE
25339663|8871096|01023510
25378694|2138197|01027338
25409006|4921607|01035996
25430441|3094890|01022020
25438625|8759769|01036859
25439157|8101331|01036817
25440057|1584280|01036468
25441754|1179948|00992205
25451008|1373531|01028405
25456471|5175361|01036454
25457830|8971457|01029192
