UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND||UNIDADE|DESCRICAO|COORD|VG.DIA.ANTERIOR|VG.TOT.PEND
0101|SAO PAULO - UNID.OPERACAO|SP|286|3259| |0101|SAO PAULO - UNID.OPERACAO|SP|43|1142
0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|120|634| |0201|BRASILIA/ DF - UNIDADE DE OPERACAO|DF|7|60
1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|2|18| |1502|MOSSORO/RN - UNIDADE DE OPERACAO|CE|0|0
0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|30|165| |0121|SAO JOSE DOS CAMPOS - UNID.OPERACAO|CV|0|16
1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|32|143| |1901|CUIABA/ MT - UNIDADE DE OPERACAO|GO|3|26
0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|5|284| |0126|TAUBATE - UNIDADE DE ATENDIMENTO|CV|0|9
0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|12|207| |0161|SAO JOSE DO RIO PRETO - UNID.OPERACAO|NS|1|12
0131|SANTOS - UNID.OPERACAO|BG|23|338| |0131|SANTOS - UNID.OPERACAO|BG|2|39
1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|2|21| |1402|SOBRAL/ CE - UNIDADE DE OPERACAO|CE|1|3
1001|BELEM/PA|AM|40|68| |1001|BELEM/PA|AM|1|18
1501|NATAL/RN - UNIDADE DE OPERACAO|CE|11|103| |1501|NATAL/RN - UNIDADE DE OPERACAO|CE|0|15
0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|35|187| |0501|GOIANIA/ GO - UNIDADE DE OPERACAO|GO|6|66
0145|ARARAQUARA - UNIDADE OPERACAO|NS|14|61| |0145|ARARAQUARA - UNIDADE OPERACAO|NS|3|15
0105|ALPHAVILLE - UNID.OPERACAO|JS|16|75| |0105|ALPHAVILLE - UNID.OPERACAO|JS|4|69
0112|PIRACICABA - UNID.OPERACAO|CV|26|118| |0112|PIRACICABA - UNID.OPERACAO|CV|2|21
