Codigo do par|Codigo do estudante|Codigo da OE
25598868|7353756|01019385
25681895|8951478|01044352
25688408|7759871|01006477
25697037|4575525|01045749
25702349|2056883|01046038
25723754|8699068|01041185
25731193|5187940|01012590
25731360|8390632|00999453
25740660|4749078|01025868
25741157|8535500|01040109
25743046|8085120|01014011
25747395|3905172|01040518
25747897|8198662|01047218
25748857|4696532|01021058
